Time,X,Y
0.26,287,256
0.38,287,259
0.55,288,267
0.67,286,273
0.79,285,277
0.91,285,278
1.02,284,278
1.13,284,278
1.25,284,276
1.37,284,276
1.48,283,275
1.6,283,274
1.71,283,274
1.83,283,274
1.95,283,273
2.06,283,273
2.19,284,276
2.3,284,282
2.43,284,291
2.54,283,298
2.65,283,303
2.77,283,305
2.89,284,310
3,283,313
3.12,284,311
3.24,284,308
3.35,286,310
3.47,287,310
3.58,287,311
3.7,288,312
3.82,288,313
3.94,288,314
4.05,288,315
4.18,287,311
4.29,284,308
4.41,283,307
4.53,282,309
4.65,282,308
4.76,281,306
4.87,278,308
4.98,268,309
5.2,249,309
5.32,235,309
5.44,220,308
5.55,210,308
5.66,200,306
5.77,186,306
5.95,172,305
6.07,167,305
6.18,163,305
6.29,161,305
6.49,161,305
6.61,160,305
6.72,158,305
6.84,157,305
6.95,156,305
7.06,157,305
7.18,157,305
7.29,158,304
7.41,163,304
7.53,160,304
7.84,203,326
7.96,206,326
8.08,204,326
8.2,201,325
8.35,200,325
8.46,203,325
8.58,208,326
8.69,209,326
8.81,208,326
8.93,212,326
9.05,216,325
9.25,213,326
9.37,211,326
9.48,264,310
9.59,265,310
9.7,267,310
9.81,270,309
9.93,276,308
10.05,274,307
10.16,274,307
10.28,273,307
10.4,273,308
10.52,273,307
10.63,274,306
10.75,275,304
10.86,275,304
10.98,275,303
11.09,275,304
11.21,276,303
11.32,278,299
11.44,277,300
11.55,278,300
11.66,279,299
11.78,281,299
11.91,281,299
12.01,280,300
12.13,279,304
12.25,284,305
12.37,288,306
12.49,293,306
12.6,299,308
12.71,307,309
12.83,313,309
12.94,320,309
13.07,325,309
13.18,338,312
13.29,349,313
13.4,360,313
13.52,373,313
13.64,379,313
13.75,386,314
13.87,397,314
13.99,409,315
14.1,417,315
14.22,419,316
14.33,420,317
14.45,421,319
14.56,422,320
14.68,422,319
14.79,425,319
14.91,427,317
15.02,428,317
15.13,426,317
15.24,422,317
15.36,422,316
15.47,424,315
15.59,424,314
15.7,425,315
15.83,425,316
15.95,423,316
16.06,423,315
16.18,423,314
16.29,424,314
16.41,423,315
16.53,419,313
16.65,407,310
16.76,394,310
16.89,377,310
17,360,310
17.12,339,310
17.24,325,309
17.35,315,309
17.46,311,309
17.59,309,309
17.71,308,309
17.82,309,308
17.94,309,308
18.05,309,309
18.17,309,309
18.29,307,308
18.4,302,307
18.51,295,305
18.63,293,305
18.75,291,306
18.86,287,308
18.98,283,309
19.09,283,309
19.22,279,310
19.33,269,310
19.45,252,310
19.56,238,309
19.68,223,308
19.79,206,307
19.9,190,306
20.02,182,307
20.13,178,307
20.23,173,307
20.35,167,308
20.47,164,309
20.59,165,309
20.71,166,308
20.83,165,306
20.94,164,306
21.06,165,305
21.18,165,305
21.28,164,306
21.4,164,305
21.51,164,305
21.62,164,306
21.74,164,307
21.86,164,307
21.97,173,305
22.08,187,305
22.19,202,306
22.3,215,306
22.41,232,307
22.54,242,308
22.65,251,308
22.77,259,308
22.89,265,308
23,268,307
23.11,271,308
23.22,272,309
23.34,275,310
23.47,279,312
23.59,279,313
23.71,279,315
23.82,280,315
23.93,280,316
24.05,279,315
24.17,279,317
24.28,278,318
24.39,277,317
24.51,276,316
24.63,276,316
24.74,276,315
24.87,279,319
24.98,281,322
25.09,283,324
25.2,284,324
25.31,284,324
25.43,284,324
25.54,282,323
25.67,283,328
25.78,283,331
25.91,283,331
26.03,283,328
26.15,281,326
26.27,280,326
26.38,280,325
26.5,280,324
26.62,280,323
26.74,282,327
26.86,284,331
26.97,286,335
27.09,287,336
27.21,286,333
27.33,285,330
27.45,285,335
27.57,284,340
27.69,284,341
27.8,284,339
27.91,284,330
28.02,283,326
28.13,283,322
28.24,284,317
28.35,284,314
28.45,283,313
28.58,276,310
28.7,259,308
28.82,247,307
28.94,230,306
29.06,214,306
29.17,193,305
29.29,180,305
29.41,169,306
29.52,165,306
29.64,160,307
29.75,156,309
29.87,158,308
29.99,157,307
30.11,157,306
30.22,157,306
30.33,156,305
30.45,157,305
30.57,157,305
30.7,156,305
30.81,157,306
30.92,157,306
31.05,166,305
31.16,180,305
31.28,197,306
31.4,208,307
31.51,224,307
31.64,236,309
31.76,242,308
31.87,255,310
32,260,308
32.11,263,308
32.22,263,308
32.33,264,308
32.45,265,308
32.56,267,307
32.68,272,305
32.79,274,304
32.91,275,304
33.02,276,303
33.14,276,302
33.25,277,300
33.36,279,297
33.47,281,294
33.58,282,292
33.71,283,292
33.81,283,292
33.92,283,292
34.05,283,293
34.16,283,293
34.28,284,294
34.4,281,297
34.52,280,298
34.64,282,295
34.76,283,293
34.88,284,290
34.99,285,289
35.12,284,290
35.23,285,289
35.35,284,290
35.47,283,292
35.58,282,291
35.69,281,289
35.81,280,288
35.92,280,287
36.04,281,285
36.16,281,284
36.28,280,281
36.4,280,281
36.51,279,282
36.63,280,283
36.74,281,284
36.86,283,279
36.99,284,275
37.11,285,273
37.22,285,270
37.34,285,271
37.46,285,270
37.57,285,271
37.7,284,274
37.81,284,273
37.93,284,268
38.04,283,263
38.16,283,258
38.28,284,255
38.39,285,253
38.51,285,255
38.62,283,262
38.74,282,268
38.85,282,270
38.96,282,270
39.08,281,271
39.2,282,272
39.31,282,274
39.42,283,276
39.54,284,275
39.65,285,270
39.76,288,266
39.87,288,264
40,288,264
40.12,287,265
40.23,287,265
40.35,287,267
40.46,286,269
40.57,286,265
40.68,286,260
40.8,285,254
40.91,285,249
41.03,286,246
41.15,286,251
41.27,285,260
41.38,284,266
41.49,285,271
41.62,286,279
41.73,283,283
41.84,284,286
41.96,285,289
42.08,287,293
42.19,291,296
42.32,295,301
42.43,307,307
42.54,315,309
42.66,328,311
42.77,346,312
42.88,361,313
43,380,314
43.11,393,314
43.24,402,314
43.35,407,314
43.46,413,315
43.57,420,315
43.69,421,316
43.81,421,315
43.92,421,316
44.03,420,316
44.14,420,316
44.26,420,316
44.38,420,316
44.49,420,316
44.6,420,316
44.73,419,316
44.85,418,317
44.97,419,318
45.08,419,319
45.19,419,319
45.31,419,320
45.42,419,318
45.54,420,316
45.66,419,313
45.77,420,313
45.89,422,314
46.02,423,314
46.13,423,315
46.25,424,315
46.37,424,316
46.49,424,316
46.6,424,316
46.71,424,316
46.84,424,316
46.95,424,316
47.07,424,315
47.19,423,315
47.3,423,315
47.41,423,315
47.53,422,315
47.65,422,315
47.76,424,316
47.87,423,316
47.99,424,316
48.1,424,316
48.22,424,316
48.33,424,316
48.45,423,316
48.57,423,316
48.69,425,316
48.8,426,317
48.92,428,318
49.03,430,319
49.15,431,319
49.25,431,320
49.38,431,320
49.5,430,318
49.62,429,318
49.73,431,317
49.85,431,318
49.97,429,318
50.09,429,318
50.21,429,317
50.32,429,317
50.45,429,316
50.56,429,316
50.68,429,316
50.8,429,317
50.92,429,317
51.04,429,317
51.16,429,317
51.27,429,317
51.39,429,317
51.5,429,317
51.62,429,317
51.75,429,317
51.87,429,317
51.98,429,317
52.1,429,317
52.22,429,316
52.33,429,316
52.45,429,316
52.56,429,315
52.67,429,314
52.79,429,315
52.91,430,315
53.03,431,315
53.14,430,315
53.25,430,315
53.37,431,314
53.48,431,314
53.6,432,313
53.7,432,312
53.8,432,312
53.92,432,312
54.04,432,312
54.15,432,312
54.28,431,313
54.39,429,312
54.51,422,310
54.61,411,309
54.73,405,309
54.85,397,309
54.97,382,310
55.08,363,310
55.21,348,309
55.32,341,309
55.45,336,309
55.57,329,309
55.68,322,308
55.81,318,309
55.91,318,310
56.02,316,310
56.14,315,310
56.26,314,310
56.39,315,310
56.5,315,310
56.61,315,310
56.71,316,310
56.84,316,310
56.95,314,310
57.07,312,311
57.18,311,311
57.3,311,311
57.43,310,311
57.54,310,311
57.66,308,311
57.78,307,311
57.9,305,312
58.01,305,312
58.12,309,310
58.24,309,310
58.35,309,310
58.46,309,310
58.58,308,310
58.7,307,310
58.81,307,310
58.93,307,310
59.05,307,309
59.17,310,309
59.29,312,310
59.4,312,310
59.51,312,311
59.63,311,311
59.75,311,311
59.86,312,310
59.98,314,310
60.09,312,310
60.21,312,310
60.33,308,307
60.45,307,307
60.56,308,307
60.68,309,307
60.79,308,307
60.91,301,305
61.02,296,304
61.14,291,304
61.25,287,305
61.37,279,306
61.48,265,307
61.6,247,308
61.71,232,308
61.82,212,308
61.94,198,308
62.05,187,307
62.16,174,307
62.28,166,306
62.39,161,306
62.5,158,306
62.62,158,306
62.75,157,306
62.87,157,306
62.98,157,305
63.09,157,306
63.21,157,306
63.32,157,305
63.44,157,305
63.54,158,305
63.67,157,305
63.79,157,305
63.89,155,304
64.01,154,304
64.12,155,304
64.24,154,304
64.35,153,304
64.48,153,304
64.59,152,305
64.71,151,306
64.84,150,306
64.96,153,306
65.07,151,305
65.19,151,305
65.3,153,305
65.41,153,305
65.52,152,305
65.64,153,305
65.75,155,305
65.86,157,306
65.98,155,307
66.1,153,308
66.21,152,308
66.32,153,307
66.44,152,307
66.56,155,304
66.68,160,304
66.8,163,304
66.92,165,304
67.03,166,305
67.14,166,306
67.25,170,305
67.36,174,305
67.47,181,306
67.59,186,306
67.7,190,306
67.81,192,306
67.93,195,306
68.05,199,306
68.17,201,306
68.3,200,307
68.42,198,307
68.53,198,306
68.65,199,306
68.77,199,306
68.89,200,306
69.01,203,306
69.12,208,305
69.24,212,305
69.36,223,305
69.48,230,305
69.6,236,306
69.72,237,306
69.84,240,305
69.96,246,306
70.08,250,306
70.19,253,307
70.31,255,307
70.43,256,306
70.54,256,306
70.65,256,306
70.77,257,306
70.89,258,307
71.01,258,307
71.13,258,307
71.24,259,306
71.36,258,307
71.48,257,307
71.59,257,307
71.72,261,306
71.84,262,306
71.96,263,306
72.07,266,306
72.19,271,306
72.31,274,306
72.43,279,307
72.55,279,308
72.67,283,309
72.78,282,309
72.89,281,309
73.01,285,310
73.13,285,312
73.25,285,312
73.37,285,313
73.48,284,311
73.59,289,310
73.7,294,309
73.82,304,309
73.93,321,309
74.04,337,310
74.16,355,311
74.27,369,311
74.39,386,312
74.5,398,313
74.62,409,314
74.73,415,315
74.85,416,315
74.97,420,315
75.09,423,315
75.21,422,315
75.32,422,315
75.44,422,315
75.55,422,314
75.67,423,313
75.79,423,314
75.9,424,314
76,424,314
76.12,424,315
76.24,424,315
76.35,423,314
76.46,423,314
76.58,425,314
76.69,426,313
76.81,424,313
76.93,420,314
77.04,414,316
77.16,410,315
77.28,410,316
77.4,408,315
77.5,408,315
77.61,406,315
77.72,402,314
77.84,397,312
77.96,395,312
78.07,395,312
78.19,395,313
78.3,396,313
78.41,396,314
78.53,396,313
78.64,397,314
78.75,397,314
78.86,398,313
78.97,400,312
79.1,401,312
79.21,402,312
79.35,402,311
79.47,402,312
79.58,402,311
79.7,403,311
79.83,410,311
79.94,416,310
80.06,419,312
80.19,422,312
80.31,425,312
80.42,425,311
80.52,426,311
80.64,426,310
80.76,428,310
80.88,427,310
81,427,310
81.11,428,310
81.22,428,310
81.34,428,309
81.46,428,310
81.57,428,310
81.69,425,311
81.8,424,313
81.91,423,313
82.02,414,311
82.14,406,309
82.26,390,309
82.38,379,310
82.5,361,311
82.62,350,310
82.73,343,310
82.85,336,311
82.98,332,311
83.1,329,312
83.21,329,311
83.33,329,311
83.44,329,311
83.56,329,311
83.68,329,311
83.79,329,312
83.9,327,312
84.02,324,312
84.13,322,312
84.25,320,312
84.37,322,311
84.48,322,311
84.61,322,311
84.73,322,312
84.84,322,312
84.96,321,313
85.08,321,314
85.2,320,313
85.31,321,313
85.42,323,312
85.54,323,313
85.66,326,316
85.78,326,316
85.89,327,316
86.01,324,313
86.12,324,312
86.24,325,311
