Time,X,Y
0.24,321,306
0.36,320,306
0.48,318,307
0.59,315,307
0.71,312,308
0.83,309,309
0.96,307,309
1.08,306,310
1.19,305,309
1.31,305,310
1.43,305,310
1.54,305,310
1.67,305,310
1.78,305,310
1.91,305,310
2.03,304,311
2.15,304,311
2.26,304,310
2.38,304,309
2.49,302,309
2.61,299,309
2.72,297,309
2.84,296,309
2.96,297,308
3.06,296,307
3.18,295,307
3.3,295,307
3.41,295,307
3.54,293,305
3.65,291,304
3.76,290,304
3.88,290,304
4,292,304
4.12,293,304
4.23,293,304
4.34,292,303
4.46,292,303
4.57,292,303
4.69,292,303
4.81,292,303
4.93,293,304
5.04,293,304
5.17,293,304
5.28,293,304
5.39,293,304
5.51,290,304
5.62,284,304
5.74,277,305
5.85,263,306
5.97,246,306
6.09,227,306
6.2,212,306
6.32,194,306
6.43,181,306
6.55,169,305
6.66,163,305
6.77,159,306
6.89,154,307
7,151,308
7.12,150,308
7.23,150,308
7.35,149,309
7.46,149,309
7.59,153,308
7.7,154,309
7.82,155,308
7.93,154,308
8.04,151,309
8.16,149,308
8.28,150,307
8.4,150,307
8.52,149,306
8.64,150,308
8.76,151,308
8.87,151,307
8.99,157,306
9.1,159,307
9.22,165,307
9.34,170,308
9.45,170,308
9.56,170,309
9.67,173,310
9.79,178,310
9.9,183,311
10.02,187,312
10.14,187,311
10.26,188,311
10.39,189,312
10.5,189,311
10.62,189,312
10.73,189,312
10.85,190,312
10.97,191,312
11.08,191,312
11.2,195,311
11.33,197,313
11.45,200,312
11.57,204,312
11.68,209,313
11.79,213,313
11.91,216,311
12.02,221,312
12.14,225,312
12.25,232,312
12.37,239,312
12.48,247,311
12.59,249,312
12.71,253,313
12.82,258,312
12.94,261,313
13.06,261,313
13.17,262,313
13.29,264,313
13.4,266,313
13.53,269,314
13.66,270,314
13.78,271,314
13.9,270,314
14.02,271,314
14.13,270,314
14.25,269,313
14.36,270,314
14.47,270,314
14.59,271,315
14.71,271,315
14.83,269,314
14.94,268,313
15.06,270,313
15.17,276,312
15.29,281,311
15.42,289,310
15.54,298,309
15.66,313,309
15.77,327,309
15.89,344,309
16.01,356,310
16.12,369,312
16.23,373,311
16.35,381,312
16.48,391,311
16.59,403,310
16.72,417,309
16.84,421,310
16.96,421,309
17.07,419,308
17.18,420,308
17.3,421,308
17.42,422,308
17.54,424,309
17.65,423,309
17.77,423,309
17.89,424,309
18,423,309
18.11,422,308
18.23,421,308
18.34,421,308
18.46,422,308
18.57,422,308
18.68,422,308
18.79,422,308
18.91,422,308
19.02,422,308
19.14,422,308
19.25,421,308
19.37,422,308
19.5,422,308
19.61,425,308
19.73,426,308
19.84,428,308
19.95,429,307
20.07,429,308
20.19,432,309
20.3,431,310
20.42,429,309
20.53,429,310
20.65,428,310
20.77,428,310
20.89,428,310
21,427,309
21.12,427,310
21.23,427,310
21.35,427,311
21.46,426,311
21.58,425,312
21.7,422,312
21.81,421,313
21.92,421,314
22.04,420,313
22.15,418,314
22.26,414,314
22.37,411,315
22.49,409,315
22.61,411,314
22.72,411,314
22.83,410,313
22.94,411,314
23.05,410,313
23.17,408,312
23.27,407,312
23.38,406,312
23.51,407,312
23.62,407,313
23.74,406,312
23.85,400,310
23.96,396,308
24.07,392,308
24.18,392,308
24.3,392,308
24.4,392,307
24.52,394,308
24.64,397,308
24.75,399,307
24.86,401,307
24.99,402,307
25.1,401,306
25.23,401,306
25.35,400,307
25.46,399,306
25.57,401,306
25.69,401,306
25.81,402,306
25.93,401,307
26.04,401,306
26.15,400,307
26.27,396,307
26.38,396,308
26.5,393,307
26.62,390,307
26.73,384,306
26.84,374,306
26.95,378,306
27.06,379,307
27.18,380,307
27.3,381,308
27.41,382,307
27.53,383,308
27.65,382,307
27.76,381,307
27.88,381,307
27.99,380,308
28.11,375,309
28.22,366,310
28.33,363,312
28.45,361,311
28.57,364,311
28.68,365,312
28.79,366,313
28.91,367,314
29.03,368,314
29.14,368,315
29.26,370,315
29.38,371,316
29.5,372,316
29.61,373,315
29.73,373,316
29.84,375,316
29.96,374,316
30.08,373,314
30.2,368,312
30.31,362,312
30.42,356,311
30.54,345,309
30.65,333,307
30.77,324,307
30.88,323,306
31,320,305
31.11,315,305
31.23,311,305
31.35,309,304
31.45,308,304
31.56,309,305
31.7,311,305
31.82,310,305
31.94,310,305
32.06,310,305
32.18,310,305
32.3,310,305
32.41,311,306
32.53,311,306
