Time,X,Y
0.22,283,305
0.33,283,307
0.45,283,306
0.57,283,308
0.69,283,311
0.8,283,313
0.92,283,313
1.02,283,314
1.14,283,316
1.26,283,315
1.37,283,314
1.49,283,314
1.6,283,314
1.71,283,314
1.82,283,314
1.93,285,315
2.05,288,318
2.16,290,320
2.27,290,321
2.4,290,320
2.52,290,319
2.62,289,320
2.74,289,318
2.86,287,316
2.97,288,314
3.09,293,311
3.21,303,308
3.33,312,308
3.44,329,306
3.56,341,306
3.68,352,306
3.79,351,307
3.91,349,307
4.03,354,306
4.14,359,306
4.25,371,306
4.35,384,307
4.47,395,308
4.58,411,309
4.7,419,309
4.81,422,311
4.93,419,310
5.04,408,306
5.16,392,305
5.27,385,306
5.4,383,305
5.51,376,307
5.63,371,308
5.75,367,309
5.86,366,309
5.98,364,310
6.1,356,310
6.21,344,310
6.33,340,311
6.44,325,309
6.55,317,308
6.67,314,308
6.79,313,307
6.91,313,307
7.02,313,308
7.14,309,307
7.26,309,307
7.37,312,307
7.49,313,308
7.6,313,307
7.71,311,307
7.82,308,306
7.94,304,304
8.06,299,302
8.17,297,299
8.28,295,299
8.4,293,298
8.53,293,297
8.65,293,297
8.77,295,299
8.89,295,299
9.01,294,299
9.13,293,298
9.24,291,298
9.36,291,298
9.48,291,298
9.59,291,299
9.71,292,299
9.82,293,299
9.94,297,303
10.06,298,303
10.17,297,300
10.29,296,299
10.41,297,299
10.53,297,301
10.64,298,301
10.75,298,302
10.87,298,301
11.02,298,301
11.17,297,299
11.29,297,298
11.43,297,293
11.58,297,292
11.76,296,292
11.88,295,290
11.99,299,303
12.1,297,305
12.22,293,306
12.34,289,308
12.45,283,308
12.56,275,309
12.69,261,310
12.8,244,309
12.92,231,308
13.03,218,308
13.15,199,308
13.26,182,307
13.37,174,307
13.48,170,307
13.59,169,307
13.7,164,306
13.82,161,307
13.93,160,309
14.05,159,310
14.17,159,309
14.28,161,310
14.4,162,307
14.52,166,306
14.64,169,305
14.75,169,305
14.87,172,305
14.97,173,305
15.09,173,304
15.21,174,304
15.33,174,304
15.44,174,305
15.56,177,305
15.67,187,305
15.79,202,306
15.9,224,306
16.01,241,307
16.14,253,307
16.25,257,307
16.37,260,308
16.49,262,308
16.6,263,309
16.71,264,309
16.83,265,309
16.94,266,309
17.05,268,309
17.17,267,309
17.29,268,309
17.41,268,309
17.52,268,309
17.63,268,309
17.75,268,309
17.86,266,308
17.98,267,307
18.11,269,306
18.22,268,306
18.34,268,306
18.45,268,306
18.58,268,306
18.69,268,306
18.81,268,306
18.92,268,306
19.04,268,306
19.16,268,306
19.27,268,306
19.39,268,306
19.5,268,306
19.63,268,306
19.74,268,306
19.86,268,306
19.97,268,306
20.08,268,306
20.2,268,306
20.32,269,305
20.44,269,305
20.55,271,304
20.66,272,304
20.78,267,306
20.89,268,308
21.01,271,308
21.14,273,308
21.25,273,308
21.36,271,307
21.47,269,308
21.58,266,308
21.69,267,308
21.81,268,309
21.93,268,308
22.05,267,308
22.17,269,309
22.29,273,310
22.4,275,311
22.51,276,312
22.63,277,312
22.75,277,312
22.87,279,314
22.98,281,316
23.09,282,317
23.21,284,320
23.32,285,321
23.44,286,321
23.55,286,320
23.66,287,321
23.78,288,320
23.9,289,321
24.02,289,322
24.14,288,320
24.25,288,321
24.36,288,320
24.48,289,319
24.6,290,318
24.72,290,318
24.84,289,319
24.95,288,319
25.06,286,316
25.18,285,313
25.29,287,312
25.41,290,310
25.53,292,310
25.65,293,309
25.77,293,308
25.88,293,308
26,291,309
26.11,292,309
26.23,298,308
26.35,309,306
26.46,323,306
26.57,344,306
26.7,358,307
26.81,377,306
26.93,390,306
27.05,394,307
27.17,401,308
27.28,407,308
27.39,417,309
27.5,426,310
27.62,429,310
27.74,426,310
27.86,424,308
27.97,424,308
28.1,424,308
28.22,425,308
28.34,426,308
28.45,425,309
28.57,425,309
28.68,425,309
28.79,426,310
28.91,425,309
29.03,424,308
29.14,426,307
29.25,426,307
29.37,427,307
29.49,428,307
29.61,429,306
29.73,433,307
29.84,435,308
29.96,436,308
30.06,436,308
30.18,436,308
30.3,436,308
30.41,436,307
30.53,432,308
30.65,431,308
30.76,430,309
30.87,420,309
30.99,406,310
31.1,383,309
31.22,367,309
31.34,350,310
31.46,339,310
31.59,331,310
31.7,328,309
31.81,326,310
31.93,323,311
32.04,320,312
32.16,317,312
32.29,316,311
32.41,316,311
32.53,315,312
32.64,313,312
