Time,X,Y
0.23,284,258
0.36,285,256
0.47,284,255
0.59,284,255
0.7,285,254
0.81,285,253
0.92,286,253
1.04,286,253
1.16,287,251
1.28,287,249
1.4,288,247
1.51,288,247
1.63,288,247
1.74,287,247
1.85,288,247
1.97,288,246
2.08,288,245
2.19,288,243
2.3,288,241
2.42,288,240
2.54,290,240
2.66,292,238
2.78,294,239
2.9,295,240
3.01,295,239
3.13,294,239
3.25,294,240
3.37,293,241
3.49,293,244
3.61,292,246
3.73,290,247
3.84,290,247
3.95,290,248
4.07,289,250
4.18,289,250
4.29,288,250
4.4,288,251
4.52,288,251
4.64,288,251
4.76,288,251
4.88,288,251
4.99,288,251
5.11,289,251
5.22,290,250
5.34,291,250
5.45,290,253
5.57,290,255
5.69,290,259
5.81,291,264
5.93,292,268
6.04,292,269
6.15,292,269
6.27,292,268
6.39,292,268
6.51,292,268
6.63,292,268
6.75,292,269
6.86,293,271
6.98,293,273
7.09,293,276
7.2,292,280
7.33,292,286
7.44,290,290
7.55,287,296
7.68,286,299
7.79,284,300
7.91,282,302
8.02,282,303
8.15,283,306
8.27,283,308
8.38,283,308
8.51,284,307
8.61,284,307
8.73,285,309
8.85,288,313
8.96,289,317
9.08,289,317
9.2,290,316
9.32,290,316
9.45,290,316
9.55,291,316
9.66,290,315
9.79,289,312
9.91,287,312
10.02,286,310
10.13,285,311
10.25,280,311
10.37,273,312
10.51,259,312
10.63,249,309
10.73,245,311
10.85,232,310
10.96,222,311
11.07,210,311
11.19,196,311
11.3,186,310
11.42,176,310
11.54,172,310
11.65,173,311
11.76,173,310
11.87,174,310
12,175,310
12.12,175,310
12.23,174,309
12.35,174,309
12.48,175,310
12.59,173,310
12.72,168,310
12.84,166,309
12.95,163,310
13.08,162,312
13.19,159,311
13.31,157,311
13.43,156,311
13.54,154,310
13.65,156,311
13.78,158,311
13.93,158,313
14.05,163,310
14.17,169,308
14.28,174,308
14.39,178,308
14.5,190,309
14.62,206,311
14.74,218,312
14.86,226,312
14.98,227,312
15.09,227,311
15.21,225,311
15.32,225,312
15.46,225,312
15.57,225,311
15.69,230,311
15.81,248,311
15.93,258,311
16.04,262,309
16.16,264,310
16.27,263,310
16.38,263,311
16.5,264,311
16.62,265,311
16.74,266,311
16.86,266,311
16.98,266,311
17.09,265,311
17.2,266,311
17.32,265,311
17.42,265,311
17.55,264,311
17.66,263,309
17.77,265,308
17.89,268,307
18,268,307
18.12,268,307
18.24,268,307
18.35,268,307
18.46,269,306
18.57,269,307
18.69,270,307
18.82,272,306
18.94,274,305
19.05,274,305
19.16,274,305
19.28,274,304
19.39,274,304
19.51,271,306
19.63,269,307
19.74,267,308
19.86,268,309
19.97,268,308
20.09,268,309
20.22,267,310
20.34,267,310
20.46,267,310
20.58,268,310
20.69,268,309
20.81,272,307
20.93,272,307
21.06,272,307
21.17,272,307
21.29,272,308
21.4,273,309
21.52,279,311
21.64,282,311
21.76,282,311
21.87,279,310
21.98,280,312
22.11,281,314
22.23,282,314
22.35,281,313
22.45,281,314
22.57,279,316
22.69,278,315
22.8,278,315
22.93,278,316
23.04,277,315
23.16,278,315
23.28,278,315
23.39,278,315
23.51,277,315
23.62,277,315
23.74,277,314
23.86,275,312
23.99,276,311
24.09,280,310
24.21,282,309
24.32,289,310
24.43,294,310
24.55,299,308
24.67,307,309
24.79,318,309
24.91,333,310
25.03,343,311
25.14,354,311
25.26,369,310
25.37,381,311
25.49,385,311
25.61,387,310
25.72,388,309
25.84,391,310
25.95,404,310
26.08,416,309
26.19,418,308
26.31,421,309
26.43,420,309
26.54,417,310
26.66,418,310
26.77,422,311
26.88,423,312
27,423,313
27.12,420,311
27.25,414,311
27.37,410,310
27.49,409,311
27.59,406,311
27.7,392,312
27.82,378,312
27.93,367,311
28.05,347,311
28.16,335,310
28.28,327,309
28.39,323,308
28.51,322,308
28.62,321,308
28.74,318,308
28.86,314,307
28.98,313,308
29.09,314,309
29.2,312,309
29.32,313,310
29.43,312,310
29.55,310,311
29.67,309,312
29.79,309,311
29.92,306,309
30.03,303,308
30.15,300,306
30.28,299,306
30.38,300,306
30.49,300,305
30.6,301,305
30.71,301,305
30.83,301,305
30.96,301,305
31.08,302,306
31.2,302,306
31.3,302,306
31.42,302,306
31.54,302,306
31.67,301,305
31.79,302,306
31.91,301,305
32.03,301,305
32.15,302,306
32.27,304,306
32.4,305,307
32.52,303,307
32.64,298,307
32.76,288,307
32.88,271,307
32.99,256,308
33.11,243,309
33.22,225,310
33.33,204,312
33.45,190,312
33.57,179,312
33.68,168,314
33.79,162,314
33.9,161,315
34.02,158,313
34.13,157,313
34.25,155,312
34.37,154,312
34.48,155,311
34.59,156,312
34.71,156,312
34.83,157,311
34.94,159,309
35.05,160,308
35.17,166,307
35.28,176,308
35.4,184,308
35.52,195,309
35.64,208,311
35.76,211,312
35.87,212,312
35.99,217,310
36.11,230,312
36.22,235,311
36.34,237,312
36.47,244,312
36.59,249,310
36.71,255,309
36.82,255,309
36.94,257,308
37.06,258,307
37.16,259,307
37.27,259,307
37.39,258,307
37.5,258,307
37.61,261,307
37.73,262,307
37.85,262,307
37.97,266,306
38.09,269,306
38.21,268,307
38.33,269,308
38.44,271,309
38.57,273,310
38.69,274,310
38.81,274,310
38.93,273,310
39.04,272,310
39.15,273,310
39.27,273,310
39.39,270,309
39.5,269,309
39.62,269,309
39.74,271,310
39.86,273,311
39.97,275,311
40.08,275,312
40.2,275,312
40.32,274,311
40.44,274,310
40.56,280,309
40.67,284,308
40.78,286,308
40.91,287,307
41.01,287,306
41.14,287,305
41.26,287,305
41.37,287,305
41.48,285,305
41.6,286,306
41.71,292,306
41.82,303,308
41.94,316,309
42.05,337,311
42.17,358,312
42.28,374,311
42.4,389,310
42.51,406,310
42.62,414,309
42.74,420,308
42.86,421,308
42.97,421,308
43.09,421,308
43.22,421,308
43.33,421,308
43.46,422,308
43.58,421,308
43.7,422,308
43.81,423,308
43.93,424,308
44.04,427,309
44.15,428,309
44.27,429,311
44.38,429,311
44.5,429,311
44.61,429,311
44.72,430,310
44.83,430,311
44.95,430,309
45.07,430,309
45.19,431,309
45.3,432,309
45.41,432,309
45.52,429,309
45.64,428,309
45.75,428,309
45.87,429,309
45.98,430,309
46.1,428,309
46.21,427,310
46.31,425,310
46.43,425,311
46.54,427,312
46.65,426,311
46.76,425,310
46.88,425,310
47,427,312
47.12,427,311
47.24,422,308
47.35,412,309
47.46,405,310
47.58,404,310
47.7,402,311
47.82,401,312
47.94,403,311
48.06,406,311
48.18,407,311
48.29,406,311
48.41,403,310
48.52,397,310
48.64,381,311
48.75,376,310
48.86,373,309
48.98,366,309
49.09,360,309
49.2,356,308
49.32,351,308
49.44,350,308
49.57,350,308
49.68,351,308
49.8,348,308
49.91,348,308
50.04,348,308
50.15,349,308
50.26,349,308
50.38,350,308
50.5,351,308
50.62,354,308
50.73,357,308
50.84,358,308
50.96,358,308
51.07,356,308
51.19,356,307
51.31,355,307
51.42,356,307
51.54,355,308
51.65,356,308
51.77,354,308
51.89,349,307
52.01,341,308
52.12,338,308
52.23,336,307
52.35,336,308
52.46,336,308
52.58,329,309
52.69,324,310
52.81,323,311
52.94,322,311
53.06,320,312
53.17,318,312
53.28,317,312
53.39,316,312
53.49,314,312
53.61,313,313
