Time,X,Y
0.21,290,307
0.32,290,307
0.44,294,307
0.55,304,310
2.52,416,313
2.63,419,313
2.75,420,315
2.86,421,315
3.01,424,315
3.12,424,317
3.24,423,316
3.42,423,316
3.54,423,316
3.65,422,316
3.79,422,317
3.92,424,317
4.06,426,316
4.23,429,315
4.34,429,315
4.45,428,315
4.57,425,314
4.7,417,311
5.07,374,309
5.19,359,310
5.31,343,310
5.42,332,309
5.54,321,309
5.66,318,309
5.8,315,308
5.92,312,308
6.03,313,308
6.33,317,307
6.63,316,307
6.75,310,305
6.98,306,304
7.09,311,305
7.21,315,307
7.35,311,308
7.47,308,308
7.58,307,309
7.72,306,310
7.84,307,310
7.95,306,310
8.07,304,311
8.19,301,312
8.29,301,313
8.41,303,311
8.57,305,309
8.7,307,308
8.82,306,309
8.93,305,310
9.04,306,308
9.21,303,306
9.33,296,305
9.44,290,305
9.57,289,304
9.68,289,304
9.79,290,304
9.92,293,304
10.04,291,304
10.24,289,299
10.36,291,301
10.48,296,304
10.59,295,306
10.74,288,308
10.86,288,308
11.07,287,309
11.18,289,307
11.47,287,311
11.59,287,312
11.7,286,312
11.83,287,312
11.95,289,309
12.06,292,307
12.18,295,305
12.29,296,304
12.4,296,305
12.51,296,306
12.63,299,309
12.78,310,308
13.3,389,314
13.58,423,314
14.18,424,314
14.3,425,314
14.41,426,315
14.53,427,315
14.64,427,314
15.85,318,308
15.97,316,309
16.09,315,309
16.2,313,310
16.32,308,310
16.43,309,310
16.54,309,310
16.66,307,309
16.81,304,312
16.93,301,314
17.04,302,313
17.15,305,310
17.27,304,309
17.39,302,309
17.5,299,310
17.61,295,311
17.73,293,311
17.85,292,311
18,291,312
18.12,291,312
18.31,288,315
18.43,289,313
18.54,292,312
18.66,293,311
18.77,293,309
18.94,285,308
19.06,283,307
19.29,284,306
19.42,285,306
19.53,286,306
19.76,286,304
19.88,285,302
20.12,285,300
20.23,284,299
20.38,283,298
20.49,284,298
20.61,285,299
20.73,285,299
20.87,285,299
21,285,299
21.1,286,299
21.22,286,299
21.33,287,301
21.52,286,298
21.64,285,297
21.76,285,295
21.97,289,299
22.09,292,302
22.21,293,300
22.53,295,301
22.64,295,301
22.87,295,303
23.45,296,303
23.55,297,306
23.67,300,308
23.79,297,309
23.91,293,309
24.02,294,310
24.14,293,312
24.26,292,312
24.38,294,312
24.5,294,311
24.61,293,312
24.73,291,314
24.87,289,316
24.98,288,317
25.1,288,318
25.21,287,318
25.36,286,319
25.48,287,319
25.6,290,315
25.71,295,312
25.84,298,312
25.96,297,312
26.08,298,312
26.19,298,313
26.3,297,314
26.41,297,315
26.52,297,317
26.73,298,313
26.84,299,311
26.96,299,310
27.07,299,308
27.22,302,309
27.33,310,311
28.21,417,313
28.35,419,313
28.46,422,314
29.76,319,310
29.88,317,310
30,315,311
30.14,312,311
30.25,311,311
30.36,308,311
30.48,305,312
30.6,303,313
30.71,300,315
30.83,300,316
30.94,299,316
31.06,300,314
31.47,299,316
31.59,301,314
31.7,300,315
31.9,296,319
32.05,297,318
32.16,297,317
32.28,295,318
32.42,292,319
32.53,291,318
32.65,290,319
32.75,289,319
32.91,289,318
33.04,293,316
33.15,299,313
33.26,299,314
33.54,298,314
33.66,299,314
33.78,299,315
33.89,299,315
