Time,X,Y
0.22,293,281
0.32,294,284
0.44,292,289
0.55,291,295
0.67,290,299
0.79,291,299
0.9,291,304
1.03,291,307
1.13,291,303
1.25,289,302
1.37,287,306
1.48,283,308
1.59,276,308
1.72,259,309
1.83,246,309
1.95,230,309
2.06,217,309
2.19,206,308
2.3,192,310
2.43,182,310
2.54,179,311
2.66,175,313
2.78,170,313
3.2,277,162
3.87,169,310
3.98,175,311
4.1,179,310
4.21,179,310
4.32,181,310
4.46,192,310
4.57,197,310
4.69,203,310
4.87,221,309
4.99,229,309
5.1,236,309
5.21,246,310
5.33,251,310
5.44,252,309
5.56,253,309
5.68,257,309
5.8,262,309
5.92,266,308
6.04,268,309
6.15,269,309
6.27,271,310
6.39,272,311
6.51,274,310
6.62,274,310
6.73,276,311
6.84,278,312
6.95,282,314
7.07,285,317
7.19,285,318
7.32,285,318
7.43,285,319
7.55,287,324
7.66,287,326
7.78,286,322
7.9,284,319
8.02,285,317
8.14,286,317
8.25,289,316
8.36,289,315
8.48,287,313
8.59,290,310
8.71,290,309
8.83,290,309
8.95,289,309
9.06,289,309
9.18,289,308
9.3,289,308
9.41,289,308
9.53,289,309
9.64,287,309
9.75,286,308
9.86,286,307
9.98,288,308
10.1,289,310
10.22,288,313
10.34,281,312
10.45,267,311
10.56,248,310
10.68,232,310
10.79,216,310
10.9,191,312
11.05,173,313
11.16,165,312
11.28,165,312
11.49,167,312
11.61,167,313
11.76,166,313
11.96,165,312
12.09,163,311
12.91,163,308
14.31,168,308
14.43,172,308
14.54,177,308
14.65,181,308
14.78,184,309
14.88,186,309
15,190,310
15.12,191,310
15.23,190,310
15.36,187,310
15.47,186,311
15.59,185,311
15.71,184,312
15.82,183,312
15.94,183,313
16.05,181,312
16.16,177,312
16.27,174,312
16.39,170,312
16.5,166,311
16.64,163,310
16.8,162,311
16.91,163,311
17.69,167,311
17.8,170,311
17.95,173,313
18.06,180,311
18.18,185,311
18.29,186,311
18.41,187,310
18.52,188,310
18.63,192,309
18.74,196,309
18.85,197,309
18.97,204,310
19.09,214,311
19.22,223,312
19.33,227,310
19.45,226,310
19.56,226,310
19.67,228,310
19.78,227,310
19.9,227,310
20.02,231,310
20.14,239,311
20.25,243,312
20.36,246,312
20.47,249,311
20.59,254,311
20.7,254,313
20.82,254,312
20.93,253,312
21.04,254,312
21.16,254,312
21.27,257,310
21.4,260,310
21.51,263,310
21.62,263,309
21.74,264,308
21.85,265,307
21.96,265,308
22.06,265,308
22.17,267,308
22.29,268,308
22.41,270,307
22.52,275,306
22.63,276,305
22.75,278,304
22.87,279,303
22.99,279,304
23.11,278,306
23.22,277,308
23.34,281,308
23.45,285,309
23.56,288,309
23.67,293,307
23.78,298,308
23.89,309,310
24.01,315,310
24.13,322,310
24.24,331,310
24.36,342,311
24.48,357,312
24.59,368,313
24.71,376,313
24.82,384,312
24.94,397,312
25.07,409,309
25.18,417,310
25.3,422,308
25.42,422,309
25.54,423,309
25.65,426,310
25.77,428,309
25.89,428,309
26,429,309
26.13,429,309
26.24,429,309
26.35,430,309
26.46,429,309
26.57,430,309
26.68,429,309
26.8,429,309
26.91,429,309
