Time,X,Y
47.03,296,301
47.14,296,300
47.25,296,299
47.46,296,299
47.59,297,302
47.76,304,305
47.87,304,305
47.99,304,305
48.1,305,305
48.21,297,301
48.33,296,299
48.44,301,303
48.55,302,304
48.67,295,305
48.78,293,306
48.89,290,305
49.01,289,307
49.12,288,308
49.25,286,308
49.37,281,308
49.48,270,309
49.6,251,306
49.72,238,305
49.84,216,304
49.95,198,305
50.08,181,306
50.2,171,306
50.32,166,306
50.44,161,306
50.55,159,306
50.66,160,306
50.77,159,305
50.88,160,306
50.99,159,306
51.12,158,305
51.24,157,305
51.36,157,306
51.47,157,306
51.58,157,306
51.7,154,308
51.82,151,309
51.93,150,308
52.08,151,309
52.19,151,309
52.3,151,309
52.42,152,309
52.55,151,309
52.67,151,308
52.78,150,307
52.9,151,308
53.05,150,308
53.32,155,309
53.44,156,309
53.56,156,308
53.67,159,307
53.78,161,307
53.89,163,306
54.01,163,306
54.12,163,305
54.24,165,305
54.36,164,306
54.47,166,306
54.59,167,306
54.71,173,306
54.82,181,307
54.93,193,309
55.05,202,310
55.16,211,311
55.28,217,310
55.39,220,310
55.51,219,310
55.63,218,311
55.74,218,311
55.86,219,312
55.97,219,311
56.09,219,311
56.21,220,311
56.32,221,310
56.44,224,310
56.55,224,310
56.67,234,311
56.78,243,311
56.89,253,311
57.01,257,312
57.13,259,311
57.24,261,312
57.35,263,312
57.46,270,313
57.58,275,315
57.7,274,315
57.81,275,315
57.92,276,316
58.04,275,316
58.15,275,317
58.27,275,317
58.4,276,319
58.51,277,321
58.63,279,323
58.75,280,324
58.86,281,325
58.98,282,326
59.09,281,326
59.21,280,322
59.34,280,320
59.45,282,320
59.56,283,319
59.68,284,319
59.79,284,320
59.9,283,320
60.01,284,320
60.13,284,320
60.25,284,320
60.36,282,318
60.48,278,315
60.61,277,314
60.72,278,315
60.84,278,318
60.94,277,318
61.06,276,318
61.18,276,317
61.29,276,317
61.4,276,317
61.52,276,317
61.63,276,318
61.75,276,318
61.87,276,318
61.99,276,318
62.1,276,317
62.22,276,317
62.32,276,317
62.44,276,317
62.55,276,317
62.66,276,318
62.78,276,317
62.89,276,316
63.01,276,316
63.13,277,316
63.24,276,315
63.36,276,315
63.49,275,312
63.6,274,310
63.71,273,309
63.82,274,308
63.94,279,307
64.06,288,308
64.18,297,308
64.29,312,309
64.41,327,311
64.53,343,312
64.64,353,313
64.76,365,314
64.87,378,312
65,395,311
65.12,406,310
65.24,417,309
65.36,420,309
65.48,421,308
65.59,423,308
65.71,424,308
65.82,425,308
65.93,424,308
66.05,423,308
66.16,423,307
66.27,423,307
66.38,423,307
66.49,423,307
66.62,423,307
66.73,424,307
66.84,423,307
66.96,423,307
67.07,423,307
67.19,423,307
67.31,422,307
67.43,419,307
67.54,418,306
67.66,416,306
67.78,416,306
67.9,416,306
68.01,414,305
68.12,408,305
68.24,402,306
68.35,398,306
68.47,391,305
68.58,382,305
68.7,373,306
68.82,368,306
68.93,363,307
69.04,360,307
69.16,357,307
69.28,351,306
69.39,345,306
69.51,340,307
69.63,335,307
69.74,332,306
69.86,331,306
69.97,332,307
70.08,332,306
70.2,332,306
70.32,332,307
70.44,331,306
70.55,327,306
70.67,323,306
70.78,318,305
70.9,310,305
71.01,308,305
71.12,304,304
71.25,306,304
71.37,309,305
71.47,309,305
71.59,308,306
71.7,308,305
71.81,306,305
71.94,303,304
72.05,304,304
72.17,305,304
72.27,305,304
72.47,293,300
72.58,292,299
72.69,293,300
72.81,294,303
72.92,292,304
73.03,290,304
73.2,288,305
73.31,286,306
73.43,284,306
73.54,277,307
73.71,254,306
73.84,235,305
73.95,215,304
74.07,203,305
74.19,190,306
74.31,186,306
74.43,186,307
