Time,X,Y
0.23,290,251
0.36,293,253
0.47,293,253
0.59,293,253
0.7,293,253
0.81,293,253
0.94,293,253
2.01,283,252
2.12,281,255
2.24,281,257
2.35,282,257
2.46,281,256
2.58,281,256
2.7,280,256
2.81,279,256
2.92,279,256
3.04,279,256
3.15,279,255
3.26,279,255
3.38,279,255
3.49,279,254
3.6,280,255
3.72,280,255
3.83,281,253
3.95,281,252
4.08,281,252
4.19,281,252
4.31,281,252
4.42,281,252
4.53,281,252
4.65,281,251
4.77,281,252
4.89,281,252
5.01,282,251
5.12,282,251
5.25,282,252
5.37,283,251
5.49,284,250
5.63,284,247
5.94,285,234
6.07,288,235
6.21,290,237
6.34,291,236
6.45,294,234
6.57,294,234
6.69,294,233
6.8,295,234
6.91,295,234
7.03,295,234
7.14,295,234
7.26,295,234
7.37,295,234
7.49,294,236
7.85,293,239
8.17,280,248
8.29,280,247
8.41,282,248
8.65,285,253
8.77,287,257
8.87,288,258
8.99,289,259
9.1,290,259
9.22,290,260
9.34,290,261
9.46,290,261
9.57,290,261
9.69,290,261
9.8,289,260
9.91,287,258
10.02,285,259
10.15,283,263
10.26,282,268
10.38,281,270
10.49,281,270
10.6,281,270
10.71,281,270
10.82,280,271
10.94,280,272
11.05,279,274
11.16,279,275
11.27,279,277
11.39,279,279
11.5,281,283
11.62,283,290
11.74,283,294
11.86,284,299
11.98,285,303
12.09,285,308
12.21,287,312
12.33,288,311
12.45,288,311
12.56,287,312
12.68,287,317
12.81,287,318
12.93,286,317
13.04,284,319
13.17,283,320
13.28,283,320
13.4,281,320
13.51,280,320
13.63,280,320
13.75,280,320
13.87,281,319
13.98,282,318
14.09,282,318
14.2,282,317
14.32,284,318
14.44,286,320
14.56,287,320
14.68,287,321
14.79,287,320
14.91,287,321
15.04,288,320
15.14,288,320
15.27,288,320
15.39,287,320
15.5,287,320
15.61,287,320
15.73,287,319
15.85,286,318
15.96,285,317
16.08,285,316
16.19,286,318
16.31,286,318
16.42,286,316
16.53,285,316
16.64,285,315
16.74,282,315
16.86,278,313
16.97,273,313
17.09,264,312
17.2,261,310
17.33,261,311
17.44,261,310
17.54,259,310
17.66,251,311
17.78,242,311
17.89,232,311
18.01,228,311
18.13,224,310
18.25,215,309
18.36,204,310
18.47,197,309
18.59,194,310
18.71,192,311
18.82,181,312
18.94,175,312
19.06,167,311
19.17,161,310
19.29,156,310
19.4,156,309
19.51,155,309
19.63,153,309
19.74,152,308
19.85,152,308
19.97,150,308
20.09,151,307
20.21,151,307
20.32,151,307
20.43,153,308
20.55,153,308
20.66,152,308
20.78,152,309
20.89,151,309
21.01,150,309
21.12,149,308
21.24,149,308
21.35,148,309
21.47,153,307
21.58,160,305
21.69,168,305
21.8,170,305
21.92,170,306
22.03,171,306
22.14,171,305
22.25,171,305
22.37,170,306
22.49,171,306
22.61,178,306
22.72,186,306
22.83,193,306
22.95,203,306
23.07,218,306
23.18,230,307
23.29,245,308
23.41,252,308
23.52,257,309
23.64,260,309
23.77,259,308
23.89,260,308
23.99,259,309
24.11,263,310
24.22,265,311
24.33,266,310
24.44,267,311
24.56,270,312
24.68,271,313
24.8,272,314
24.92,270,313
25.03,271,313
25.15,271,314
25.28,270,312
25.4,271,313
25.51,272,314
25.63,273,316
25.75,273,317
25.87,272,315
26,273,312
26.12,279,313
26.23,282,314
26.35,282,314
26.48,283,313
26.59,283,313
26.7,282,314
26.82,281,313
26.94,281,311
27.06,285,309
27.18,287,309
27.3,286,308
27.41,286,308
27.53,286,307
27.65,287,305
27.77,287,303
27.88,287,303
27.99,287,302
28.11,287,302
28.22,287,302
28.34,285,305
28.45,284,305
28.56,284,304
28.68,283,303
28.8,283,303
28.91,283,304
29.02,283,306
29.14,288,308
29.26,293,307
29.38,296,307
29.5,303,306
29.62,313,307
29.73,321,306
29.85,324,307
29.96,329,307
30.08,338,306
30.2,352,307
30.32,366,307
30.44,377,307
30.55,388,306
30.67,395,306
30.78,405,306
30.91,408,307
31.03,408,306
31.15,409,306
31.27,415,307
31.38,416,307
31.5,417,308
31.62,418,307
31.73,419,307
31.85,420,306
31.96,422,307
32.08,419,307
32.19,417,307
32.31,419,309
32.43,422,310
32.54,423,311
32.66,422,310
32.77,419,311
32.9,418,312
33.01,420,313
33.13,421,311
33.25,421,312
33.37,422,312
33.48,422,312
33.59,421,311
33.71,416,311
33.83,406,314
33.95,393,315
34.07,375,314
34.19,368,314
34.3,362,316
34.41,349,315
34.53,330,313
34.64,318,311
34.75,311,311
34.86,306,310
34.97,306,310
35.08,306,310
35.2,303,308
35.32,302,308
35.44,301,308
35.56,301,309
35.67,298,312
35.79,294,311
35.91,291,312
36.03,285,312
36.15,275,310
36.27,260,308
36.38,246,306
36.5,228,305
36.62,211,306
36.73,195,306
36.85,181,307
36.97,166,308
37.08,158,307
37.2,155,306
37.32,154,306
37.43,153,305
37.54,151,306
37.65,151,306
37.76,148,306
37.87,147,306
37.99,146,307
38.11,146,306
38.22,147,307
38.34,149,308
38.45,150,309
38.56,152,309
38.67,152,309
38.8,152,308
38.92,150,307
39.03,152,307
39.14,158,308
39.27,161,308
39.38,171,308
39.5,184,308
39.61,197,307
39.73,220,306
39.85,235,306
39.98,245,306
40.1,251,306
40.23,264,305
40.35,267,305
40.47,264,305
40.58,262,306
40.69,262,306
40.81,263,306
40.93,264,305
41.04,265,305
41.16,265,305
41.27,265,304
41.39,265,305
41.5,265,305
41.62,268,304
41.73,274,302
41.85,275,297
41.97,275,297
42.08,276,296
42.19,275,299
42.31,275,299
42.43,275,300
42.55,274,302
42.67,274,302
42.79,275,301
42.9,275,302
43.03,275,302
43.15,275,302
43.27,275,302
43.39,275,302
43.5,275,302
43.62,275,302
43.73,275,302
43.83,275,302
43.95,275,302
44.07,275,302
44.19,275,302
44.31,275,302
44.43,276,301
44.54,276,301
44.66,276,300
44.77,276,300
44.89,276,301
45.01,277,301
45.12,276,301
45.24,276,303
45.36,276,303
45.48,276,303
45.6,276,303
45.71,277,302
45.83,280,301
45.95,281,302
46.06,281,302
46.17,281,302
46.29,281,302
46.4,280,302
46.52,278,304
46.65,282,306
46.76,286,307
46.89,290,307
47,290,307
47.13,289,309
47.24,289,309
47.36,289,310
47.48,289,309
47.59,289,309
47.71,289,310
47.83,288,309
47.94,286,309
48.05,286,308
48.17,288,311
48.28,288,315
48.4,288,314
48.51,288,314
48.63,288,314
48.75,289,315
48.86,289,316
48.97,289,316
49.08,289,316
49.21,288,315
49.32,287,316
49.44,287,315
49.55,287,316
49.66,287,316
49.78,288,317
49.9,288,317
50.02,288,317
50.15,288,317
50.26,288,317
50.38,288,317
50.5,288,316
50.62,287,315
50.74,285,313
50.86,283,312
50.97,283,312
51.09,282,311
51.21,282,312
51.32,277,310
51.43,267,309
51.55,256,309
51.67,242,308
51.79,227,307
51.9,217,306
52.02,207,307
52.13,204,307
52.25,202,307
52.36,202,308
52.47,202,307
52.59,197,307
52.71,183,307
52.83,180,307
52.95,172,308
53.07,160,308
53.19,159,308
53.31,160,308
53.42,161,308
53.54,162,308
53.65,170,308
53.78,179,308
53.89,186,309
54,195,310
54.12,206,312
54.24,206,311
54.36,207,311
54.47,206,311
54.59,206,311
54.7,206,311
54.81,206,311
54.93,207,311
55.04,206,311
55.15,205,311
55.27,203,311
55.38,204,311
55.49,203,311
55.6,203,311
55.72,204,311
55.83,203,311
55.94,211,311
56.06,222,312
56.17,233,311
56.3,239,310
56.42,246,310
56.53,253,308
56.65,258,309
56.76,258,308
56.88,258,308
57,258,308
57.11,258,307
57.22,259,307
57.34,260,307
57.46,261,307
57.58,266,306
57.69,268,305
57.8,269,304
57.93,270,304
58.04,269,304
58.17,269,304
58.28,267,305
58.41,265,305
58.52,266,306
58.63,267,305
58.74,268,305
58.86,268,305
58.97,269,305
59.09,269,305
59.2,269,304
59.32,269,304
59.44,269,304
59.55,269,305
59.67,271,304
59.79,276,303
59.9,278,302
60.02,281,300
60.13,283,299
60.25,284,298
60.37,285,297
60.48,285,296
60.6,286,295
60.72,286,295
60.83,287,295
60.95,287,295
61.06,287,295
61.18,285,296
61.29,284,297
61.41,285,296
61.52,286,296
61.63,287,295
61.75,287,296
61.86,287,296
61.97,287,296
62.08,286,296
62.21,284,297
62.33,282,298
62.46,282,299
62.57,282,299
62.69,283,300
62.81,285,303
62.92,288,304
63.03,290,305
63.15,295,306
63.26,296,307
63.38,296,307
63.5,294,307
63.62,293,307
63.74,293,307
63.86,292,307
63.98,294,307
64.09,294,308
64.21,296,308
64.32,296,308
64.44,297,309
64.55,302,310
64.66,302,310
64.78,303,310
64.89,305,310
65.01,311,310
65.12,326,310
65.24,337,310
65.36,348,311
65.47,350,310
65.58,359,310
65.7,370,309
65.82,383,309
65.94,393,309
66.07,399,310
66.19,408,310
66.3,413,309
66.42,417,309
66.53,417,308
66.66,417,308
66.76,417,308
66.88,417,308
66.99,417,308
67.1,417,308
67.22,418,308
67.34,420,309
67.46,421,310
67.58,422,311
67.69,421,311
67.8,422,310
67.92,423,309
68.04,423,309
68.15,424,309
68.26,426,309
68.38,427,310
68.49,428,310
68.62,428,310
68.73,426,310
68.84,424,310
68.96,424,310
69.07,426,311
69.18,428,313
69.3,428,314
69.42,428,314
69.53,428,314
69.65,428,314
69.77,426,313
69.9,422,311
70.01,421,309
70.14,423,311
70.25,422,311
70.37,421,311
70.48,422,310
